"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Properties", "JavaScript", "comment", "blank", "total"
"c:\tweet\tweet\.env", "Properties", 0, 0, 0, 14, 0, 1, 0, 15
"c:\tweet\tweet\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 34, 0, 2, 36
"c:\tweet\tweet\nodemon.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"c:\tweet\tweet\package-lock.json", "JSON", 0, 0, 4072, 0, 0, 0, 1, 4073
"c:\tweet\tweet\package.json", "JSON", 0, 0, 37, 0, 0, 0, 1, 38
"c:\tweet\tweet\src\constants\enum.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 11
"c:\tweet\tweet\src\constants\httpStatus.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\tweet\tweet\src\constants\message.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 55
"c:\tweet\tweet\src\controllers\users.controller.ts", "TypeScript", 114, 0, 0, 0, 0, 2, 16, 132
"c:\tweet\tweet\src\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 11, 24
"c:\tweet\tweet\src\middleware\common.middleware.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 8
"c:\tweet\tweet\src\middleware\error.middleware.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\tweet\tweet\src\middleware\users.middlewares.ts", "TypeScript", 466, 0, 0, 0, 0, 2, 32, 500
"c:\tweet\tweet\src\model\errors.ts", "TypeScript", 21, 0, 0, 0, 0, 4, 3, 28
"c:\tweet\tweet\src\model\request\user.request.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 2, 53
"c:\tweet\tweet\src\model\schemas\Follower.schema.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 1, 20
"c:\tweet\tweet\src\model\schemas\RefreshToken.schema.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 1, 20
"c:\tweet\tweet\src\model\schemas\User.schema.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 4, 60
"c:\tweet\tweet\src\routes\users.routes.ts", "TypeScript", 20, 0, 0, 0, 0, 75, 7, 102
"c:\tweet\tweet\src\services\database.service.ts", "TypeScript", 35, 0, 0, 0, 0, 1, 8, 44
"c:\tweet\tweet\src\services\users.service.ts", "TypeScript", 258, 0, 0, 0, 0, 2, 12, 272
"c:\tweet\tweet\src\type.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 11
"c:\tweet\tweet\src\utils\bycrypt.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 4, 12
"c:\tweet\tweet\src\utils\handler.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 10
"c:\tweet\tweet\src\utils\jwt.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 6, 34
"c:\tweet\tweet\src\utils\validation.ts", "TypeScript", 24, 0, 0, 0, 0, 2, 7, 33
"c:\tweet\tweet\tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 1, 15
"Total", "-", 1254, 14, 4115, 14, 34, 89, 127, 5647